iteration	commit	score	delta	status	description
1	b391134	286	-48	keep	Replace silent try? with do-catch in SupabaseService (6 occurrences)
2	ffdfd6d	206	-80	keep	Replace silent try? with do-catch in SyncService (10 occurrences)
3	04ae3f1	150	-56	keep	Replace silent try? with do-catch in NotificationService and GoalService (6 occurrences)
4	fd9c794	133	-17	keep	Make chart Y-scale domains data-driven in CheckinPatternView (2 occurrences)
5	eeb39bf	113	-20	keep	Fix chart domain properties to use ClosedRange in WeeklyBalanceView and CheckinPatternView (4 occurrences)
6	3e83912	144	-6	keep	Add error handling to meals rollback delete in web API
7	73fd8df	138	-6	keep	Add error handling to audit_logs insert in audit-log.ts
8	6076005	118	-15	keep	Fix chart Y-scale variable names to use lowercase max (LongevityView, PhysicalEffortView)
9	5dedce3	108	-5	keep	Make StressRecoveryView timeline chart Y-scale data-driven
10	436a489	103	-5	keep	Make CircadianPerformanceView bar chart Y-scale data-driven
11	0ae9998	98	-5	keep	Make SocialJetLagView DOW chart Y-scale data-driven
